stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
5147,56799,גן ילדים, רחוב:אלטור 63 עיר: שבלי רציף:   קומה:  ,32.687647,35.402979,0,,913
5149,56801,יאסר, רחוב:אלטור 134 עיר: שבלי רציף:   קומה:  ,32.693392,35.396297,0,,913
5150,56802,אל ג'בל/אלנג'ארה, רחוב:אלג'בל  עיר: דבוריה רציף:   קומה:  ,32.690779,35.374231,0,,489
5151,56803,אלג'בל/אלנור, רחוב:אלג'בל  עיר: דבוריה רציף:   קומה:  ,32.693066,35.373821,0,,489
5152,56804,אלנור/אלעלאמאת, רחוב:אלנור  עיר: דבוריה רציף:   קומה:  ,32.693627,35.375975,0,,489
5153,56805,דבוריה, רחוב:אלעלאמאת  עיר: דבוריה רציף:   קומה:  ,32.693420,35.380199,0,,489
5154,56806,מסוף הר תבור, רחוב:  עיר: שבלי רציף:   קומה:  ,32.694374,35.385940,0,,913
5155,56807,מוכתר, רחוב:אלטור 174 עיר: שבלי רציף:   קומה:  ,32.694229,35.388562,0,,913
5156,56808,איהאב, רחוב:אלטור 156 עיר: שבלי רציף:   קומה:  ,32.694695,35.392933,0,,913
5157,56809,מתנ''ס, רחוב:אלטור 94 עיר: שבלי רציף:   קומה:  ,32.691045,35.401128,0,,913
5158,56810,בית עלמין עפולה, רחוב:  עיר: עפולה רציף:   קומה:  ,32.601841,35.284767,0,,7700
5159,56811,בית עלמין עפולה, רחוב:  עיר: עפולה רציף:   קומה:  ,32.598677,35.282690,0,,7700
5160,56812,בית פוזנק/עליית הנוער, רחוב:עליית הנוער 14 עיר: עפולה רציף:   קומה:  ,32.622150,35.329057,0,,7700
5162,56814,צומת שלוחות, רחוב:669  עיר: עמק המעיינות רציף:   קומה:  ,32.475560,35.496624,0,,1824
5163,56815,צומת רופין, רחוב:6688  עיר: עמק המעיינות רציף:   קומה:  ,32.496020,35.553808,0,,12143
5164,56816,הגפן/אלי כהן, רחוב:הרב עובדיה יוסף  עיר: מגדל העמק רציף:   קומה:  ,32.675094,35.234925,0,,874
5165,56817,פארק העמק, רחוב:שדרות יצחק רבין  עיר: עפולה רציף:   קומה:  ,32.619971,35.310682,0,,7700
5166,56818,צומת איכסאל/כניסה מערבית, רחוב:  עיר: עמק יזרעאל רציף:   קומה:  ,32.676107,35.291222,0,,1840
5167,56819,מחלף איכסאל, רחוב:60  עיר: עמק יזרעאל רציף:   קומה:  ,32.675116,35.291690,0,,12356
5168,56820,עוקף נצרת, רחוב:3001  עיר: נצרת רציף:   קומה:  ,32.688370,35.292890,0,,7300
5169,56821,דרך הציונות/החטיבות, רחוב:דרך הציונות  עיר: נוף הגליל רציף:   קומה:  ,32.697857,35.308785,0,,1061
5170,56822,צומת אום אל גאנם, רחוב:65  עיר: עמק יזרעאל רציף:   קומה:  ,32.664575,35.395201,0,,12267
5171,56823,מרפאה, רחוב:חמ ע'וג  עיר: כפר כמא רציף:   קומה:  ,32.722822,35.440264,0,,508
5172,56824,תחנה לבריאות המשפחה, רחוב:דרך המושבות  עיר: יבנאל רציף:   קומה:  ,32.708968,35.501864,0,,46
5173,56825,מועצה, רחוב:דרך המושבות  עיר: יבנאל רציף:   קומה:  ,32.707005,35.503575,0,,46
5175,56827,פארק גורן, רחוב:המייסדים  עיר: יבנאל רציף:   קומה:  ,32.705325,35.509060,0,,46
5176,56828,צומת רופין, רחוב:6688  עיר: עמק המעיינות רציף:   קומה:  ,32.496021,35.553914,0,,12144
5180,56832,מגרש כדורגל, רחוב:דרך ההר  עיר: יבנאל רציף:   קומה:  ,32.698779,35.506312,0,,46
5181,56833,מפעל, רחוב:המעיין  עיר: יבנאל רציף:   קומה:  ,32.699570,35.507845,0,,46
5182,56834,'משה שרת ד, רחוב:משה שרת 18 עיר: בית שאן רציף:   קומה:  ,32.490862,35.489609,0,,9200
5183,56835,'משה שרת ג, רחוב:משה שרת 50 עיר: בית שאן רציף:   קומה:  ,32.491813,35.487107,0,,9200
5184,56836,משה שרת/נעמי שמר, רחוב:משה שרת  עיר: בית שאן רציף:   קומה:  ,32.489394,35.489054,0,,9200
5185,56837,מועצה מקומית, רחוב:1 23 עיר: אכסאל רציף:   קומה:  ,32.678898,35.321856,0,,478
5187,56839,ארכיון המושבה, רחוב:חטיבת גולני  עיר: יבנאל רציף:   קומה:  ,32.702016,35.507601,0,,46
5188,56840,'משה שרת ב, רחוב:משה שרת 53 עיר: בית שאן רציף:   קומה:  ,32.490946,35.487005,0,,9200
5189,56841,צומת כפר כמא מזרח, רחוב:767  עיר: כפר כמא רציף:   קומה:  ,32.720204,35.446652,0,,11872
5190,56842,קוממיות/טשרניחובסקי, רחוב:קוממיות 7 עיר: עפולה רציף:   קומה:  ,32.628694,35.326607,0,,7700
5191,56843,בית הראשונים, רחוב:דרך המושבות  עיר: יבנאל רציף:   קומה:  ,32.704116,35.505905,0,,46
5192,56844,אום אל גאנם/65, רחוב:65  עיר: כפר תבור רציף:   קומה:  ,32.670767,35.404062,0,,12265
5194,56846,שאפסוע'/נאשה, רחוב:שאפסוע'  עיר: כפר כמא רציף:   קומה:  ,32.720701,35.439339,0,,508
5195,56847,אולם ספורט, רחוב:דרך המושבות  עיר: יבנאל רציף:   קומה:  ,32.714339,35.498088,0,,46
5196,56848,בית העם, רחוב:דרך המושבות  עיר: יבנאל רציף:   קומה:  ,32.712206,35.499528,0,,46
5197,56849,צומת יששכר, רחוב:716  עיר: הגלבוע רציף:   קומה:  ,32.555490,35.383232,0,,1829
